
0.154   0.453   0.196   
1.185   0.288   0.186   
0.148   0.154   1.189   
0.148   0.154   7.423   
0.143   0.140   0.152   
0.132   0.427   0.421   
0.136   0.138   0.156   
0.409   0.144   0.183   
0.125   0.136   0.132   
0.142   0.133   0.125   
0.140   0.142   0.127   
0.122   0.128   0.145   
0.129   0.139   1.183   
0.128   0.142   0.165   
0.161   0.162   0.510   
0.151   0.154   0.181   
0.147   0.143   0.190   
1.160   0.154   0.180   
0.146   0.154   0.394   
0.133   0.145   0.182   
0.142   1.459   0.460   
0.144   0.447   1.180   
1.157   0.143   0.194   
0.148   0.149   0.188   
0.143   3.253   0.260   
1.153   0.295   0.252   
0.124   0.185   0.185   
0.119   0.201   0.211   
0.130   0.200   0.174   
0.128   0.158   0.193   
0.133   0.206   0.167   
0.122   0.207   0.170   
0.125   0.210   0.200   
0.128   0.190   0.213   
0.123   0.175   0.176   
0.176   0.193   0.231   
0.171   0.180   0.226   
0.161   0.160   0.185   
0.149   0.158   0.189   
0.141   0.186   3.192   
0.140   0.150   0.192   
0.142   0.159   0.409   
0.137   0.157   0.186   
0.152   0.155   1.421   
0.143   1.170   0.138   
0.123   0.404   0.169   
0.156   0.164   0.169   
0.143   0.145   1.152   
0.129   0.129   0.158   
0.146   0.128   0.177   
0.146   0.152   0.154   
0.153   0.153   0.144   
0.146   0.159   1.169   
0.155   0.137   0.170   
0.151   0.157   0.381   
0.136   0.128   0.150   
0.141   0.146   0.135   
0.133   0.132   0.129   
0.147   0.122   0.117   
0.122   0.134   0.122   
1.440   0.129   0.126   
0.150   0.132   0.136   
0.139   0.131   0.121   
0.115   0.125   0.123   
0.124   0.122   0.133   
0.124   0.123   0.120   
0.121   0.124   0.158   
0.131   0.138   0.140   
0.137   0.123   0.125   
0.123   0.134   0.179   
0.147   0.121   0.164   
0.147   0.151   0.158   
0.144   0.136   0.188   
0.151   0.158   0.198   
0.145   0.151   0.178   
0.152   0.152   0.160   
0.145   0.445   0.183   
0.142   0.157   0.130   
0.429   0.138   0.149   
0.134   0.130   0.146   
0.118   0.119   0.123   
0.138   0.154   0.196   
0.162   0.147   0.176   
0.142   0.144   0.605   
0.146   0.155   0.164   
0.131   0.410   0.125   
0.120   0.130   0.117   
0.115   0.128   0.133   
0.117   0.140   0.145   
0.123   0.125   0.147   
0.148   0.154   0.150   
0.141   0.614   0.175   
0.145   0.145   0.374   
0.148   0.156   0.192   
0.137   0.133   0.172   
0.148   0.152   0.163   
0.148   0.136   0.163   
0.139   0.144   2.162   
0.143   0.150   0.414   
0.136   0.145   0.392   
0.142   0.135   0.163   
0.144   0.138   0.180   
0.136   0.139   0.215   
0.121   0.254   0.251   
0.132   0.229   0.214   
0.119   0.346   0.339   
0.128   0.253   0.185   
0.123   0.365   0.192   
0.126   0.195   0.192   
0.117   0.184   0.170   
0.118   0.171   0.163   
0.119   0.176   0.210   
0.117   0.165   0.178   
0.143   0.181   0.164   
0.120   0.204   0.165   
0.121   0.170   0.188   
0.119   0.208   0.168   
0.123   0.207   0.171   
0.117   0.174   0.191   
0.119   0.155   0.166   
0.121   0.181   0.165   
0.207   0.236   0.225   
0.161   0.158   0.205   
0.144   0.149   0.207   
0.161   0.151   0.162   
0.130   0.133   0.158   
0.140   0.152   0.172   
0.131   0.146   1.764   
0.138   0.150   0.184   
0.147   0.135   1.171   
0.135   0.151   0.182   
0.136   0.149   0.153   
0.152   0.163   0.603   
0.132   0.148   0.164   
0.144   0.144   0.165   
0.139   0.131   0.166   
0.126   0.145   0.397   
0.139   0.122   0.138   
0.125   0.124   0.136   
0.139   0.144   0.188   
0.165   0.145   0.170   
1.174   0.146   1.158   
